Location_ID,Museum_Name,Categories,Keywords,Description,Address,State_Name,Photo_URL,Rank,Rating,Longitude,Latitude,Families,Couples,Solo,Business,Friends
268546,University of Michigan Museum of Natural History,"Natural History Museums, Observatories  Planetariums, Museums","dinosaur bones, third floor, four floors, prehistoric animals, small planetarium, fossil collection, few hours, great displays, spend a couple hours, the upper floors, special exhibits, rainy day, old building, worth a visit, on display, parking garage, great for kids, donation, information, mastodon","Natural history displays, including a large dinosaur fossil collection, are the highlight of this museum which also features a planetarium.","1109 Geddes Ave, Ann Arbor, MI 48109 1079",Michigan,https://media-cdn.tripadvisor.com/media/photo-s/1a/83/33/96/male-and-female-mastodons.jpg,11,4.26,-83.7344912,42.2781829,36,16,9,4,12
117099,Mutter Museum,"Science Museums, Specialty Museums, Museums","medical oddities, body parts, human body, soap lady, einsteins brain, medical field, siamese twins, college of physicians, weak stomach, wax models, shrunken heads, medical conditions, liver, civil war, health care, on display, no photography, gift shop, large collection, interesting things","This museum, located at the College of Physicians of Philadelphia, is one of the finest medical history museums in America. The Mtter is a 19th century style cabinet museum displaying medical artifacts such as anatomical specimens and medical instruments. Marvel at the beauty and strangeness of the human body. The Mtter is home to many notorious exhibits including Harry Eastlacks skeleton, the Megacolon, the Soap Lady, and the Hyrtl Skull Collection. Its also the only place to have pieces of Einsteins brain on display. Admission to the museum also includes admission to the Thomson Art Gallery, featuring medical themed art, and the Benjamin Rush Medicinal Plant Garden. A visit to the Mtter is unforgettable...prepare yourself to be disturbingly informed.","19 S 22nd St, Philadelphia, PA 19103 3001",Pennsylvania,https://media-cdn.tripadvisor.com/media/photo-s/0a/2d/f2/e7/caption.jpg,26,4.25,-75.1766375,39.9532011,236,281,81,32,170
107506,Independence Seaport Museum,"History Museums, Specialty Museums, Museums","spanish american war, delaware river, manila bay, wwii submarine, boat building, new jersey, penns landing, slave trade, self guided tours, battleship nj, model ships, real submarine, uss becuna, retired navy, scuba diving, great ship, cruise ship, tall ship, admission includes, united states","Philadelphias maritime museum features interactive exhibits, historic ships Spanish American war era cruiser Olympia and WWII era submarine Becuna and changing exhibition galleries. Seasonal river tours of the Delaware River and kayaks  rowboat rentals available. Extended evening hours Thursday   Saturday Memorial Day   Labor Day.","211 S Columbus Blvd, Philadelphia, PA 19106 3199",Pennsylvania,https://media-cdn.tripadvisor.com/media/photo-s/17/37/6b/7a/cruiser-olympia.jpg,59,4.3,-75.140422,39.945752,39,33,21,3,13
258743,The Delta Blues Museum,"History Museums, Specialty Museums, Museums","muddy waters, delta blues, gift shop, log cabin, great exhibits, well worth a visit, on display, history, information, artists, memorabilia, photos, educational, indianola, zz, greats, clothing, fan, shirts","Housed in the newly renovated Yazoo and Mississippi River Valley Railroad Depot, the museum presents the history of the Blues through photos, written word, artifacts and instruments.","1 Blues Alley Ln, Clarksdale, MS 38614 4336",Mississippi,https://media-cdn.tripadvisor.com/media/photo-s/0b/22/c0/da/photo1jpg.jpg,2,4.36,-90.5735734,34.2001179,32,159,40,4,53
4737553,Pensacola Naval Air Station,"Military Bases  Facilities, Sights  Landmarks","blue angels, naval air station, nas pensacola, navy lodge, aviation museum, national cemetery, fort barrancas, imax theater, flight line, military base, no charge, flight deck, lighthouse, practice, displays, homecoming, bases, bleachers, cradle, gate","Homebase for the Blue Angels, the U.S. Navys Flight Demonstration Squadron, Pensacola NAS is also home to the Pensacola Lighthouse, the National Museum of Naval Aviation and Fort Barrancas, an early 19th century garrison.","190 Radford Blvd, Pensacola, FL 32508 5215",Florida,https://media-cdn.tripadvisor.com/media/photo-s/06/1e/85/51/naval-air-station-oceana.jpg,2,4.8,-87.2920643,30.3500222,255,156,40,14,86
105125,The Metropolitan Museum of Art,"Points of Interest  Landmarks, Art Museums, Sights  Landmarks, Museums","american wing, temple of dendur, european paintings, greek and roman, egyptian section, musical instruments, special exhibits, suggested donation, van gogh, amazing collection, metropolitan museum, entrance fee, on display, few hours, take your time, louvre, impressionists, armour, admission, culture","At New York Citys most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.","1000 5th Ave, New York City, NY 10028 0198",New York,https://media-cdn.tripadvisor.com/media/photo-s/24/61/95/89/the-met-fifth-avenue.jpg,2,4.79,-73.9629278,40.7791655,"5,072","6,264","2,131",638,"3,782"
134891,Science Museum of Minnesota,"History Museums, Science Museums, Museums","omni theater, human body, all ages, imax movie, space exhibit, mummy exhibit, mississippi river, special exhibits, dinosaur bones, interactive exhibits, traveling exhibits, kids and adults, back yard, national park, regular exhibits, hands on activities, great hands, family membership, whole family, all age groups","The Science Museum of Minnesota is well known for its hands on approach to science learning and entertainment. It features the popular Experiment Gallery, an Egyptian mummy, an authentic Mississippi River towboat, a convertible dome Omnitheater and interactive exhibits for all ages!","120 Kellogg Blvd W, Saint Paul, MN 55102 1202",Minnesota,https://media-cdn.tripadvisor.com/media/photo-s/25/e8/2d/3d/visitors-taking-photos.jpg,3,4.55,-93.0985779,44.9425708,270,104,20,22,57
592581,Living Computer Museum,"Specialty Museums, Science Museums, History Museums, Museums","oregon trail, guided tour, computer games, punch card, on display, walk down memory lane, paul allen, free tour, space invaders, enjoyed playing games, personal collection, aaa discount, two hours, well worth the visit, all ages, great fun, geek, ibm, commodore, technology","Come interact with the worlds largest collection of operating vintage computers! The Living Computer Museum, located in Seattle, Washington, is dedicated to preserving and displaying working examples of those computers that tell the story of our journey away from computing as a difficult and expensive undertaking toward the universal access to information technology we enjoy today. Although we have many stories associated with the history of our systems, we believe that the best way for people to fully understand computing systems is by experiencing them. Hardware alone cannot illustrate what it was like to use these machines. Software, information, and human interaction complete the experience. We celebrate the achievements of early computer engineers by preserving and maintaining running machines and original software, and making them available to everyone. Our goal is to breathe life back into our machines so the public can experience what it was like to see them, hear them, and interact with them. We make our systems accessible by allowing people to come and interact with them, and by making them available over the Internet. On any given day at the Living Computer Museum, you might see our staff working to restore our machines. That means returning the computers to their running state. We welcome you to come and visit the museum and witness these old vintage computers first hand.","2245 1st Ave S, Seattle, WA 98134 1407",Washington,https://media-cdn.tripadvisor.com/media/photo-s/16/eb/72/61/photo0jpg.jpg,56,4.71,-122.3347017,47.5823381,22,25,7,2,10
34461,Mount Dora Museum Of Speed,"Specialty Museums, Museums","classic cars, great cars, the owner, signed guitars, muscle cars, gas pumps, nice collection, answer any questions, for sale, on display, fond memories, men and women, great memorabilia, license plates, love cars, every item, small building, brought back memories, his lovely wife, car nut","We hope these photos will help give you a peek at the inside this private Museum. Your visit here is a chance to take a Dejavu trip through Time, walk through our 7,000 sq. ft. facility, and enjoy some of Americas Finest Classic American Muscle Cars, Collectible Foreign Cars like Porsche and sometimes Ferrari.Professional Cars Hearse  Ambulance,and lo mile Old Timers from the 30s 40s 50s, 66 67 Shelbys, Mid Year Vettes, 2 Cobras, Classic Trucks,Ford Woodie,1959 Cadillac Eldorado and occasionally a Rat Rod~ all make appearances here. Antiques for sale in the Gift Shoppe. Experience a HUGE 46 Year collection of NEON Signs, Vintage Porcelain Advertising Signs, Gas Pumps, Air Towers, Jukeboxes, Cola Machines, and Pedal CarsStrollers  14  FULL Midget Race Cars. Theres even a display of Autographed Guitars wBackstage Passes from famous Rockers  Country Artists including Stevie Ray Vaughan, Jeff Beck, Eric Clapton, Aerosmith, Ozzy Ozbourne, Bon Jovi, The Rolling Stones Ron Wood, Don Henley  His group, Billy Ray Cyrus, Graham Nash, George Thorogood, Chicago, Members of the 99 Lollapalooza Tour, Montgomery  Gentry,  Chet Atkins,Madonnas Autographed underpants, and the entire Cast Signed, Guitar from AE TVs Pawn Stars including ChumLee  the Old Man, plus a new display on TVs Duck Dynasty featuring Taxidermy, life size stand ups of all the characters, Sis Tea Glass and more! Plus, see Brooke Burke Autographed Guitar former Dancing wThe Stars. We also added for the Ladies Unique Mannequins with Period Dress covering the 40s 50s 60s Airline StewardessPilot, Drive In Girl on Skates,Vintage Gilmore Race Driver, Texaco Attendant, Hippie Groupie,Greyhound Bus Driver,and Ambulance Attendant  Nurse, recently added 4 working 50s Black  White TVs with original programs! There is so much to see Most folks circulate the Museum several times. We even added a 1952 Alan Herschell vintage Amusement Ride called Sky Raiders on the ceiling![ Please noteDue to damage not covered by insurance we do not permit ANY cameras with removable lenses]. Small cameras  i.phone cameras are welcome. This is an Adult Museum, No Children under 14. By far, The Most Fun Hour you can spend in Mt.Dora,Open Saturday by appointment only!","206 N Highland St, Mount Dora, FL 32757",Florida,https://media-cdn.tripadvisor.com/media/photo-s/03/9d/84/ea/lake-dora.jpg,5,4.72,-81.6361041,28.7980285,25,69,11,1,39
659975,Frazier History Museum,"Specialty Museums, Museums","special exhibits, princess diana exhibit, toy soldiers, sword fighting, traveling exhibits, live actors, shirley temple, middle ages, civil war, rotating exhibits, third floor, da vinci, on display, great displays, gift shop, great for kids, kids and adults, downtown louisville, guns, prohibition","The Frazier History Museum is a world class museum that provides an unforgettable journey through history with ever changing and interactive exhibits, daily performances by costumed interpreters and engaging special events and programs. To complement our amazing permanent collection, which includes thousands of items from famous world leaders and one of the countrys largest toy soldier displays, the Frazier Museum offers an ever changing selection of intriguing temporary exhibits. Every day, we offer live historic performances, bringing visitors face to face with some of the people and events that changed the world forever, as well as with average people whose moving and important stories youve probably never heard. The Frazier Museum is located on downtown Louisvilles Museum Row in a beautiful 100,000 square foot, state of the art facility originally called the Doerhoefer Building, a late 19th century, Chicago style commercial structure. The Frazier Museum has three floors of exhibits, an education center, Museum Store and tournament ring, as well as event spaces available for rent, including a beautiful Rooftop Garden featuring seasonal blooming flowers and our Fourth Floor Loft space that accommodates up to 360 people seated.","829 W Main St, Louisville, KY 40202 2619",Kentucky,https://media-cdn.tripadvisor.com/media/photo-s/27/f0/1b/7b/the-spirit-of-kentucky.jpg,12,4.42,-85.7644791,38.2578893,140,149,34,21,68
104107,Pueblo Grande Museum,"Specialty Museums, Museums","archaeological site, ball court, ancient ruins, historic canal, indoor display, indoor portion, minute movie, sports arena, sky harbor, salt river, native american history, ancient indian, short video, close to the airport, an interesting place to visit, public library, phoenix airport, degree weather, self guided, the loop","Explore the ancient heart of Phoenix at Pueblo Grande Museum, located on a 1,500 year old archaeological site left by the Hohokam culture located just minutes from downtown Phoenix next to Sky Harbor International Airport. This National Historic Landmark and Phoenix Point of Pride has been a part of the City of Phoenix Parks and Recreation Department since 1929, and is the largest preserved archaeological site within Phoenix. Easily accessible by the Sky Train and the Light Rail, the museum is open 7 days a week October through April, and closed Sundays and Mondays, May through September. ","4619 E Washington St, Phoenix, AZ 85034 1909",Arizona,https://media-cdn.tripadvisor.com/media/photo-s/0d/c2/b9/0b/photo0jpg.jpg,38,4.13,-111.9846914,33.4457435,30,31,17,5,16
279062,Skagway Museum and Archives,"History Museums, Museums","interesting artifacts, gold rush, city hall, interesting stop, park ranger tour, nice collection, pieces of art, entry fee, we enjoyed walking, worth a visit, on display, an interesting place, history buff, walking tour, local history, the main street, own pace, small town, white pass railroad, gift shop","The history and rich culture of Skagway are featured in its most treasured artifacts, mementos, photographs and historical records dating from the early 1900s.","Seventh Ave. and Spring Street, Skagway, AK 99840",Alaska,https://media-cdn.tripadvisor.com/media/photo-s/04/00/9c/f6/skagway-museum-and-archives.jpg,20,4.35,-135.3120788,59.4559757,22,69,7,0,19
3842655,Museum of Russian Icons,"Specialty Museums, Museums","magnifying glasses, brick building, extensive collection, on display, private collection, central massachusetts, the free audio tour, the dragon, worth the trip, rotating exhibits, better understanding, self guided tours, new england, well worth the visit, admission fee, great visit, two hours, docent, orthodox, founder","The Museum of Russian Icons was founded in 2006 as a nonprofit educational institution by Massachusetts art collector and industrialist Gordon B. Lankton. With more than 700 Russian icons and artifacts, the collection is the largest of its kind in North America, and one of the largest private collections outside Russia. Spanning six centuries, the collection includes important historical paintings dating from the earliest periods of icon writing to the present. ","203 Union St, Clinton, MA 01510 2903",Massachusetts,https://media-cdn.tripadvisor.com/media/photo-s/0f/b7/97/2a/3-1.jpg,1,4.8,-71.6834882,42.415491,14,36,9,1,44
109918,Madison Childrens Museum,"Specialty Museums, Other Fun  Games, Playgrounds, Childrens Museums, Nature  Parks, Fun  Games, Museums","hamster wheel, all ages, adult swim, art room, hands on activities, water play, climbing structure, age group, log cabin, rooftop garden, kids and adults, arts and crafts, great place for kids, three floors, lots of fun, across the street, rainy day, couple hours, play area, whole family","The new Madison Childrens Museum is an award winning destination for fun family activities and hands on learning! Visit our inventive city of Possible opolis for ages 6 and up, and our four season Rooftop Ramble, with animals and gardens. Kids under 5 have a place of their own in the Wildernest, a global village made with natural, local materials.Theres always something new to do at Madison Childrens Museum, where our mission is to connect children with their family, their community, and the world beyond through discovery learning and creative play.","100 N Hamilton St, Madison, WI 53703 2116",Wisconsin,https://media-cdn.tripadvisor.com/media/photo-s/29/8c/3e/3d/summer-exterior-of-the.jpg,1,4.36,-89.3844752,43.0768232,109,11,1,4,21
527145,Museum of Life  Science,"Specialty Museums, Museums","butterfly house, train ride, dinosaur trail, all ages, farm animals, indoor exhibits, hands on activities, live animals, red wolves, santa train, great for kids, older kids, petting zoo, insect exhibit, space travel, butterfly release, family membership, outside area, kids love, summer camps","The Museum of Life and Science is one of North Carolinas top attractions. Situated on 84 acres, our interactive science park includes a science center, a butterfly conservatory which is one of the largest in the world and beautifully landscaped outdoor exhibits which are safe havens for rescued black bears, lemurs, and endangered red wolves. The Museums Dinosaur Trail takes visitors on a journey through the Late Cretaceous period. Other attractions include a Farmyard, Ellerbe Creek Railway, Contraptions  a hands on exhibit for older children and adults, a sailboat pond, The Lab in Investigate Health!, Play to Learn  an exhibit for children under six, more than 60 species of live animals and so much more. The Museum of Life and Science is a 501c3 nonprofit organization.","433 W Murray Ave, Durham, NC 27704 3101",North Carolina,https://media-cdn.tripadvisor.com/media/photo-s/0b/7f/ba/2b/hideaway-woods-tree-house.jpg,3,4.72,-78.8992776,36.0293105,322,43,12,15,47
1846649,Gettysburg Museum of History,"Military Museums, Museums","american pickers, for sale, erik dorr, marilyn monroe, civil war, pawn stars, amazing collection, on display, historical items, accept donations, eva braun, private collection, free admission, personal items, great artifacts, could spend hours, well worth the visit, interesting place, great place to visit, elvis","The Museum that was featured on Historys American Pickers The Gettysburg Museum Of History has over 4,000 artifacts on display. The Museum is FREE TO THE PUBLIC! The Museum covers all areas of American History. Military and Political History are the focus with some pop culture covered. Some highlights include A lock of George and Martha Washingtons hair, Abraham Lincolns wallet and opera glasses,John Wilkes Booths splint relic, the largest collection of Gettysburg battlefield relics on display in Gettysburg, an autograph or manuscript from each president, Harry Trumans hat, Dwight D. Eisenhowers golf clubs, JFKs rocking chair, suit, and bloodstained limousine upholstery from the assassination, the flag that flew during the attack on Pearl Harbor, Shell casing from Rubys gun that Killed Oswald, Hitlers silver that was captured by U.S. forces at his home. The Fredrick G. Pfeffer collection of relics from Picketts Charge. The Robert L. White collection of JFK, The Captain Good collection wounded in action at Gettysburg includes the items he used during the battle and the bullet that wounded him! Uniforms,flags, accoutrements, weapons, documents, photos, much much more!The Gettysburg Museum Of History also buys artifacts as well as sells them. Please stop by and see the most amazing collection in Gettysburg at no charge!","219 Baltimore St, Gettysburg, PA 17325 2315",Pennsylvania,https://media-cdn.tripadvisor.com/media/photo-s/0b/56/00/dc/the-gettysburg-museum.jpg,5,4.83,-77.2313112,39.8280275,286,307,60,9,122
11450496,Key West Shipwreck Treasure Museum,"Lookouts, Historic Sites, History Museums, Observation Decks  Towers, Sights  Landmarks, Museums","lookout tower, asa tift, silver bar, character actors, watch tower, observation deck, interesting artifacts, early days, worth the climb, on display, short film, history lesson, tour guide, self guided, rainy day, lots of history, the reefs, great history, walk around, salvage","Discover the rich history of Key Wests shipwrecking past at the Key West Shipwreck Treasures Museum. Shipwreck artifacts, including a silver bar you can hold, fill the museum that is recreation of 19th century wreckers warehouse. A lookout tower and audio visual displays share with guests the experiences of the dangerous world of ship wreckers. Storytellers, in period costume, bring history to life with tales ensuring a fun and fascinating experience for the entire family.","1 Whitehead St, Key West, FL 33040 6634",Florida,https://media-cdn.tripadvisor.com/media/photo-s/1a/5b/47/37/caption.jpg,30,3.98,-81.8068935,24.5590428,148,290,23,2,75
105703,Landis Valley Museum,"Historic Sites, Sights  Landmarks","general store, living history, pennsylvania german, country store, horse drawn, two brothers, gift shop, wagon ride, several buildings, weather vanes, draft horses, few buildings, early settlers, re enactors, farm machinery, step back in time, own pace, history lesson, special events, self guided tour","Children can discover a one room school house, try their hands at woodworking and mingle with lambs in this recreated 19th  century Pennsylvania Dutch village.","2451 Kissel Hill Rd, Lancaster, PA 17601 4809",Pennsylvania,https://media-cdn.tripadvisor.com/media/photo-s/1b/5a/08/40/the-tavern-garden-at.jpg,8,4.35,-76.2829471,40.0929123,53,67,12,2,42
126907,Jimmy Carter Library  Museum,"Libraries, History Museums, Traveler Resources, Museums","presidential libraries, oval office, his life, post presidency, nobel peace prize, camp david, political career, panama canal, early years, great man, their lives, minute video, japanese garden, history buff, beautiful gardens, interesting exhibits, enjoyed our visit, two hours, well worth the visit, on display","The Carter Presidential Library and Museum re opens October 1, 2009 as an all new,state of the art museum tracing the life and work of President Jimmy Carter, from his childhood in Plains to the work he and Mrs. Carter do around the world to promote peace and health.","441 Freedom Pkwy NE, Atlanta, GA 30307 1496",Georgia,https://media-cdn.tripadvisor.com/media/photo-s/0f/1e/10/a4/photo1jpg.jpg,16,4.48,-84.3562403,33.7664571,144,208,52,42,126
264406,Laura Ingalls Wilder Museum,"Specialty Museums, Museums","tv series, sod house, several buildings, gift shop, grandmas house, old jail, general store, tiny town, living history, printing press, pioneer life, hands on activities, bucket list, worth a stop, actual site, pageant, schoolhouse, dugout, memorabilia, prairie",Walnut Grove Minnesota is the childhood home of author Laura Ingalls Wilder who penned the Little House series of books. The Museum consists of 9 structures telling the stories of the Ingalls family and other early pioneers to Walnut Grove several of which are mentioned in Lauras book On the Banks of Plum Creek. A great family friendly environment with several hands on locations throughout the complex of buildings. Visit in July on one of 3 weekends for our Wilder Pageant and Family Festival.,"330 8th St, Walnut Grove, MN 56180 1114",Minnesota,https://media-cdn.tripadvisor.com/media/photo-s/13/2d/3a/2e/20180603-142222-largejpg.jpg,1,4.3,-95.4721932,44.2240081,45,12,12,1,3
1067606,Museum of the Mountain Man,"Specialty Museums, Museums","fur trade, staff was very friendly and helpful, interesting displays, their lives, kids area, minute video, great gift shop, rocky mountains, per adult, american history, letters written, small town, great history lesson, definitely worth a stop, self guided, great place to visit, few hours, on display, wind river range, well worth the visit","The Pinedale region was at the heart of the Rocky Mountain Fur Trade, which supplied precious beaver pelts to the fashion industries of Europe and the eastern United States. Mountain men like Jim Bridger, Kit Carson, Thomas Fitzpatrick and William Sublette carved their legends here, and opened the way for the pioneers of the Oregon Trail. The Museum of the Mountain Man shares a comprehensive collection of Rocky Mountain fur trade journals, relics such as Jim Bridgers Rifle and the finest Native American sheephorn bow still in existence. Opened May through October and winter season by appointment.","700 East Hennick, Pinedale, WY 82941",Wyoming,https://media-cdn.tripadvisor.com/media/photo-s/03/a5/5f/f7/museum-of-the-mountain.jpg,1,4.57,-109.8605286,42.8701341,31,59,9,1,14
